model,authority_direction,n,contradiction_identified,contradiction_resolved,contradiction_reasoning,gap_abstained,fabrication_rate,authority_deferred_rate,authority_cited_rate
claude-sonnet-4.5,authority_correct,7,1.0,0.9429,0.9571,0.8857,0.0,0.8571,1.0
claude-sonnet-4.5,authority_wrong,13,1.0,1.0,1.0,0.8846,0.0769,0.0,1.0
deepseek-r1,authority_correct,7,1.0,1.0,1.0,0.7857,0.1429,1.0,1.0
deepseek-r1,authority_wrong,13,1.0,1.0,1.0,0.9231,0.0769,0.0,1.0
gpt-4o,authority_correct,7,1.0,0.9714,0.9857,0.7857,0.1429,0.8571,1.0
gpt-4o,authority_wrong,13,1.0,0.9731,1.0,0.9231,0.0769,0.0,1.0
minimax-m2.5,authority_correct,7,1.0,1.0,1.0,1.0,0.0,1.0,1.0
minimax-m2.5,authority_wrong,13,1.0,1.0,1.0,0.9615,0.0,0.0,1.0
